Country,State,Year,Gender,Cause Of Suicide,Number Of Suicides,Percentage Share,Category,Reported_Status
India,Andhra Pradesh,2022,Female,Marriage Related Issues (Dowry Related Issues),22.0,,Marriage,Reported
India,Andhra Pradesh,2022,Female,Marriage Related Issues (Extra Marital affairs),23.0,,Marriage,Reported
India,Andhra Pradesh,2022,Female,Marriage Related Issues (Non-Settlement of Marriage),23.0,,Marriage,Reported
India,Andhra Pradesh,2022,Female,Marriage Related Issues (Others),22.0,,Marriage,Reported
India,Andhra Pradesh,2022,Female,Other Causes,260.0,,Various,Reported
India,Andhra Pradesh,2022,Female,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Poverty,7.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Professional/Career Problem,31.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Property Dispute,7.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs),10.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Unemployment,14.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Bankruptcy or Indebtedness,815.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Causes Not Known,484.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Death of Dear Person,64.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Drug Abuse/Alcoholic Addiction,375.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Failure in Examination,78.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Fall in Social Reputation,8.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Family Problems,1769.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Illness (AIDS/STD),6.0,,Illness,Reported
India,Andhra Pradesh,2022,Male,Illness (Cancer),17.0,,Illness,Reported
India,Andhra Pradesh,2022,Male,Illness (Insanity/Mental illness),575.0,,Illness,Reported
India,Andhra Pradesh,2022,Male,Illness (Other Prolonged Illness),834.0,,Illness,Reported
India,Andhra Pradesh,2022,Male,Illness (Paralysis),31.0,,Illness,Reported
India,Andhra Pradesh,2022,Male,Impotency/Infertility,18.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Love Affairs,141.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Marriage Related Issues (Divorce),16.0,,Marriage,Reported
India,Andhra Pradesh,2022,Male,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Andhra Pradesh,2022,Male,Marriage Related Issues (Extra Marital affairs),30.0,,Marriage,Reported
India,Andhra Pradesh,2022,Male,Marriage Related Issues (Non-Settlement of Marriage),45.0,,Marriage,Reported
India,Andhra Pradesh,2022,Male,Marriage Related Issues (Others),37.0,,Marriage,Reported
India,Andhra Pradesh,2022,Male,Other Causes,1036.0,,Various,Reported
India,Andhra Pradesh,2022,Male,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Poverty,125.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Professional/Career Problem,72.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Property Dispute,56.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs),50.0,,Various,Reported
India,Andhra Pradesh,2022,Male,Unemployment,83.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Causes Not Known,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Death of Dear Person,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Failure in Examination,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Fall in Social Reputation,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Family Problems,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Illness (AIDS/STD),1.0,,Illness,Reported
India,Andhra Pradesh,2022,Transgender,Illness (Cancer),0.0,,Illness,Reported
India,Andhra Pradesh,2022,Transgender,Illness (Insanity/Mental illness),0.0,,Illness,Reported
India,Andhra Pradesh,2022,Transgender,Illness (Other Prolonged Illness),0.0,,Illness,Reported
India,Andhra Pradesh,2022,Transgender,Illness (Paralysis),0.0,,Illness,Reported
India,Andhra Pradesh,2022,Transgender,Impotency/Infertility,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Love Affairs,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Andhra Pradesh,2022,Transgender,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Andhra Pradesh,2022,Transgender,Marriage Related Issues (Extra Marital affairs),0.0,,Marriage,Reported
India,Andhra Pradesh,2022,Transgender,Marriage Related Issues (Non-Settlement of Marriage),0.0,,Marriage,Reported
India,Andhra Pradesh,2022,Transgender,Marriage Related Issues (Others),1.0,,Marriage,Reported
India,Andhra Pradesh,2022,Transgender,Other Causes,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Poverty,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Professional/Career Problem,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Property Dispute,0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andhra Pradesh,2022,Transgender,Unemployment,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Causes Not Known,19.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Death of Dear Person,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Failure in Examination,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Fall in Social Reputation,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Family Problems,2.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Illness (AIDS/STD),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Female,Illness (Cancer),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Female,Illness (Insanity/Mental illness),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Female,Illness (Other Prolonged Illness),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Female,Illness (Paralysis),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Female,Impotency/Infertility,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Love Affairs,3.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Female,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Female,Marriage Related Issues (Extra Marital affairs),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Female,Marriage Related Issues (Non-Settlement of Marriage),1.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Female,Marriage Related Issues (Others),1.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Female,Other Causes,7.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Poverty,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Professional/Career Problem,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Property Dispute,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Arunachal Pradesh,2022,Female,Unemployment,2.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Causes Not Known,73.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Death of Dear Person,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Drug Abuse/Alcoholic Addiction,4.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Failure in Examination,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Fall in Social Reputation,1.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Family Problems,2.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Illness (AIDS/STD),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Male,Illness (Cancer),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Male,Illness (Insanity/Mental illness),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Male,Illness (Other Prolonged Illness),1.0,,Illness,Reported
India,Arunachal Pradesh,2022,Male,Illness (Paralysis),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Male,Impotency/Infertility,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Love Affairs,6.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Male,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Male,Marriage Related Issues (Extra Marital affairs),1.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Male,Marriage Related Issues (Non-Settlement of Marriage),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Male,Marriage Related Issues (Others),2.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Male,Other Causes,11.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Poverty,1.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Professional/Career Problem,2.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Property Dispute,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Arunachal Pradesh,2022,Male,Unemployment,10.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Causes Not Known,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Death of Dear Person,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Failure in Examination,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Fall in Social Reputation,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Family Problems,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Illness (AIDS/STD),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Transgender,Illness (Cancer),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Transgender,Illness (Insanity/Mental illness),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Transgender,Illness (Other Prolonged Illness),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Transgender,Illness (Paralysis),0.0,,Illness,Reported
India,Arunachal Pradesh,2022,Transgender,Impotency/Infertility,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Love Affairs,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Transgender,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Transgender,Marriage Related Issues (Extra Marital affairs),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Transgender,Marriage Related Issues (Non-Settlement of Marriage),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Transgender,Marriage Related Issues (Others),0.0,,Marriage,Reported
India,Arunachal Pradesh,2022,Transgender,Other Causes,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Poverty,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Professional/Career Problem,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Property Dispute,0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Arunachal Pradesh,2022,Transgender,Unemployment,0.0,,Various,Reported
India,Assam,2022,Female,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Assam,2022,Female,Causes Not Known,0.0,,Various,Reported
India,Assam,2022,Female,Death of Dear Person,7.0,,Various,Reported
India,Assam,2022,Female,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
India,Assam,2022,Female,Failure in Examination,19.0,,Various,Reported
India,Assam,2022,Female,Fall in Social Reputation,15.0,,Various,Reported
India,Assam,2022,Female,Family Problems,328.0,,Various,Reported
India,Assam,2022,Female,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Assam,2022,Female,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Assam,2022,Female,Illness (AIDS/STD),0.0,,Illness,Reported
India,Assam,2022,Female,Illness (Cancer),4.0,,Illness,Reported
India,Assam,2022,Female,Illness (Insanity/Mental illness),93.0,,Illness,Reported
India,Assam,2022,Female,Illness (Other Prolonged Illness),0.0,,Illness,Reported
India,Assam,2022,Female,Illness (Paralysis),2.0,,Illness,Reported
India,Assam,2022,Female,Impotency/Infertility,0.0,,Various,Reported
India,Assam,2022,Female,Love Affairs,174.0,,Various,Reported
India,Assam,2022,Female,Marriage Related Issues (Divorce),7.0,,Marriage,Reported
India,Assam,2022,Female,Marriage Related Issues (Dowry Related Issues),94.0,,Marriage,Reported
India,Assam,2022,Female,Marriage Related Issues (Extra Marital affairs),41.0,,Marriage,Reported
India,Assam,2022,Female,Marriage Related Issues (Non-Settlement of Marriage),28.0,,Marriage,Reported
India,Assam,2022,Female,Marriage Related Issues (Others),0.0,,Marriage,Reported
India,Assam,2022,Female,Other Causes,0.0,,Various,Reported
India,Assam,2022,Female,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Assam,2022,Female,Poverty,44.0,,Various,Reported
India,Assam,2022,Female,Professional/Career Problem,13.0,,Various,Reported
India,Assam,2022,Female,Property Dispute,83.0,,Various,Reported
India,Assam,2022,Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs),35.0,,Various,Reported
India,Assam,2022,Female,Unemployment,24.0,,Various,Reported
India,Assam,2022,Male,Bankruptcy or Indebtedness,52.0,,Various,Reported
India,Assam,2022,Male,Causes Not Known,3.0,,Various,Reported
India,Assam,2022,Male,Death of Dear Person,45.0,,Various,Reported
India,Assam,2022,Male,Drug Abuse/Alcoholic Addiction,64.0,,Various,Reported
India,Assam,2022,Male,Failure in Examination,23.0,,Various,Reported
India,Assam,2022,Male,Fall in Social Reputation,19.0,,Various,Reported
India,Assam,2022,Male,Family Problems,956.0,,Various,Reported
India,Assam,2022,Male,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Assam,2022,Male,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Assam,2022,Male,Illness (AIDS/STD),0.0,,Illness,Reported
India,Assam,2022,Male,Illness (Cancer),11.0,,Illness,Reported
India,Assam,2022,Male,Illness (Insanity/Mental illness),220.0,,Illness,Reported
India,Assam,2022,Male,Illness (Other Prolonged Illness),0.0,,Illness,Reported
India,Assam,2022,Male,Illness (Paralysis),14.0,,Illness,Reported
India,Assam,2022,Male,Impotency/Infertility,0.0,,Various,Reported
India,Assam,2022,Male,Love Affairs,185.0,,Various,Reported
India,Assam,2022,Male,Marriage Related Issues (Divorce),40.0,,Marriage,Reported
India,Assam,2022,Male,Marriage Related Issues (Dowry Related Issues),23.0,,Marriage,Reported
India,Assam,2022,Male,Marriage Related Issues (Extra Marital affairs),74.0,,Marriage,Reported
India,Assam,2022,Male,Marriage Related Issues (Non-Settlement of Marriage),50.0,,Marriage,Reported
India,Assam,2022,Male,Marriage Related Issues (Others),0.0,,Marriage,Reported
India,Assam,2022,Male,Other Causes,13.0,,Various,Reported
India,Assam,2022,Male,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Assam,2022,Male,Poverty,107.0,,Various,Reported
India,Assam,2022,Male,Professional/Career Problem,36.0,,Various,Reported
India,Assam,2022,Male,Property Dispute,196.0,,Various,Reported
India,Assam,2022,Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs),52.0,,Various,Reported
India,Assam,2022,Male,Unemployment,126.0,,Various,Reported
India,Assam,2022,Transgender,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Assam,2022,Transgender,Causes Not Known,0.0,,Various,Reported
India,Assam,2022,Transgender,Death of Dear Person,0.0,,Various,Reported
India,Assam,2022,Transgender,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
