Country,State,Year,Gender,Social Status,"Number Of Suicides (UOM:Number), Scaling Factor:1"
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Married,13
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,1
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,670
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Married,1527
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,22
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,378
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Married,582
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,19
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,144
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Married,231
India,Bihar,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,96
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Married,213
India,Bihar,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,1
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Bihar,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,37
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Married,53
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,17
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Married,23
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1500
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Married,3953
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,184
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,726
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Married,1260
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,75
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,82
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Married,132
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,5
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,26
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Married,38
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,5
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1645
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Married,4203
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,87
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,865
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Married,1758
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,62
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,2
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,759
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Married,1843
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,23
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,217
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Married,405
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,10
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,124
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Married,330
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,10
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,45
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Married,116
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,7
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,60
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Married,121
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,49
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Married,78
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,753
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Married,644
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,26
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,327
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Married,329
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,5
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,2233
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Married,7438
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,164
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,779
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Married,2188
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,118
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,1
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Kerala,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1533
India,Kerala,"Calendar Year (Jan - Dec), 2022",Male,Married,6119
India,Kerala,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,195
India,Kerala,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,436
India,Kerala,"Calendar Year (Jan - Dec), 2022",Female,Married,1519
India,Kerala,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,120
India,Kerala,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,2
India,Kerala,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Kerala,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,3
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Male,Married,5
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Female,Married,1
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Ladakh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Male,Married,2
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Female,Married,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,2613
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Married,7532
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,103
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,1459
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Married,3128
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,118
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,4016
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Male,Married,13461
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,236
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,1314
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Female,Married,3056
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,109
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,1
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Manipur,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,8
India,Manipur,"Calendar Year (Jan - Dec), 2022",Male,Married,7
India,Manipur,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Manipur,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,1
India,Manipur,"Calendar Year (Jan - Dec), 2022",Female,Married,9
India,Manipur,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Manipur,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Manipur,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Manipur,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,67
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Male,Married,90
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,2
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,27
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Female,Married,16
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,3
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,56
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Male,Married,49
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,9
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,7
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Female,Married,9
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,1
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,14
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Male,Married,21
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,2
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Female,Married,6
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,1
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Nagaland,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Odisha,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,439
India,Odisha,"Calendar Year (Jan - Dec), 2022",Male,Married,607
India,Odisha,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Odisha,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,384
India,Odisha,"Calendar Year (Jan - Dec), 2022",Female,Married,2312
India,Odisha,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,15
India,Odisha,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Odisha,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Odisha,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,96
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Male,Married,217
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,2
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,29
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Female,Married,81
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,3
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,1
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Puducherry,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Punjab,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,600
India,Punjab,"Calendar Year (Jan - Dec), 2022",Male,Married,1251
India,Punjab,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,3
India,Punjab,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,137
India,Punjab,"Calendar Year (Jan - Dec), 2022",Female,Married,367
India,Punjab,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,1
India,Punjab,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,1
India,Punjab,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Punjab,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,989
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Male,Married,2795
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,41
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,490
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Female,Married,876
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,20
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,89
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Male,Married,131
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,1
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,19
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Female,Married,44
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,3
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Sikkim,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,3588
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Male,Married,10396
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,64
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,1361
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Female,Married,4092
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,102
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,14
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Transgender,Married,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Telangana,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1574
India,Telangana,"Calendar Year (Jan - Dec), 2022",Male,Married,5878
India,Telangana,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,57
India,Telangana,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,511
India,Telangana,"Calendar Year (Jan - Dec), 2022",Female,Married,1558
India,Telangana,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,46
India,Telangana,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Telangana,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Telangana,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,58
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Male,Married,88
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,31
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Female,Married,26
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,1
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,111
India,Tripura,"Calendar Year (Jan - Dec), 2022",Male,Married,393
India,Tripura,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,59
India,Tripura,"Calendar Year (Jan - Dec), 2022",Female,Married,150
India,Tripura,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Tripura,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1415
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Married,3300
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,59
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,837
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Married,1862
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,33
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,184
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Male,Married,331
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,6
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,125
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Female,Married,145
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1626
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Male,Married,4227
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,133
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,1045
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Female,Married,2513
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,77
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Un-Married,31
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Married,86
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Widowed/Widower,2
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Divorce,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Separated,1
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Others,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Male,Status not known,2
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Un-Married,10
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Married,24
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Widowed/Widower,3
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Divorce,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Separated,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Others,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Female,Status not known,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Transgender,Un-Married,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Transgender,Married,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Transgender,Widowed/Widower,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Transgender,Divorce,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",Transgender,Separated,0
